Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status
mens-compression-pants,Men's Compression Pants,Men's compression pants. Without logo.,Tagline,Pants,"compression, mens, bottoms, new",TRUE,Color,White,Size,S,20.00,shopify,2,deny,manual,TRUE,TRUE,active
mens-compression-pants,,,,,,,,White,,M,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,White,,L,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,White,,XL,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,Black,,S,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,Black,,M,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,Black,,L,20.00,shopify,2,deny,manual,TRUE,TRUE,
mens-compression-pants,,,,,,,,Black,,XL,20.00,shopify,2,deny,manual,TRUE,TRUE,
